subid,looking_time_IDS,looking_time_ADS,age_days,child_gender,child_race_ethnicity,multilingual,CG_years_ed,child_N_sibs,CG_gender
MB0904,10.82625,8.335,290,M,Caucasian,N,13,1,F
MB0905,9.2825,6.05875,301,F,Caucasian,N,16,0,F
MB0906,6.56875,7.9275,303,M,Caucasian,N,13,0,F
MB0907,8.788333333,8.58,286,M,Caucasian,N,14,0,F
MB0908,4.89625,5.38125,297,M,Caucasian,N,17,0,F
MB1001,5.04625,7.26875,312,M,Caucasian,N,14,2,F
MB1002,3.785,3.675,311,F,Caucasian,N,20,0,F
MB1003,7.5,3.75875,320,M,Caucasian,N,16,1,F
MB1004,6.2025,7.115,328,M,Caucasian,N,14,1,F
MB1005,5.272857143,3.3525,306,F,Caucasian,N,14,1,F
MB1006,11.43625,6.65875,323,F,Caucasian,N,17,1,F
MB1007,7.78875,5.925,308,M,Caucasian,N,13,0,F
MB1008,5.02125,7.54125,316,F,Caucasian,N,13,1,F
MB1009,8.6075,8.322,319,F,Caucasian,Y,13,1,F
MB1010,8.91875,7.62875,323,F,Caucasian,N,14,0,F
MB1101,3.9575,3.42625,354,M,Caucasian,N,16,1,F
MB1102,4.535,3.54125,347,M,Caucasian,N,16,0,F
MB1103,5.305,6.035,351,M,Caucasian,N,14,2,F
MB1104,7.51,8.151428571,342,M,Caucasian,N,16,1,F
MB1105,8.66875,6.46375,342,M,Caucasian,N,16,1,F
MB1106,6.5825,4.9575,339,F,Caucasian,N,17,0,F
MB1107,6.128333333,7.356666667,362,M,Caucasian,N,16,0,F
MB1108,1.94,6.51,345,F,Caucasian,N,16,0,F
MB12-01,8.02375,3.63625,411,M,Hispanic/Latino,Y,12,1,F
MB12-02,9.0825,4.5175,451,F,Multiracial,Y,18,0,F
MB12-03,11.85625,7.655,447,M,Hispanic/Latino,Y,16,0,F
MB12-04,12.445,6.40375,444,F,Multiracial,Y,16,0,F
MB12-05,5.63125,8.4,454,M,Caucasian,Y,12,1,F
MB12-06,8.21625,4.4275,454,F,Hispanic/Latino,Y,16,1,F
MB12-07,10.365,5.76625,385,F,Caucasian,Y,20,0,F
MB12-08,8.13625,5.855,379,M,Caucasian,Y,19,0,F
MB12-09,6.742857143,5.111428571,454,F,Asian,Y,19,1,F
MB12-10,8.9,7.875,454,F,Hispanic/Latino,Y,14,0,F
MB12-11,15.4575,8.4825,381,F,Multiracial,Y,12,2,F
MB12-12,11.36375,6.865,453,F,Multiracial,Y,12,2,F
MB12-13,5.51,4.006666667,369,M,Multiracial,Y,15,0,F
MB12-14,10.49625,8.03125,384,F,Multiracial,Y,18,0,F
MB12-15,8.481666667,6.742,434,M,Multiracial,Y,18,3,F
MB12-17,6.29,7.433333333,410,M,Caucasian,Y,16,1,F
MB1201,2.908571429,6.975,376,F,Caucasian,N,17,1,F
MB1202,10.19125,5.3775,365,F,Caucasian,N,16,0,F
MB1203,10.84142857,4.081428571,377,M,Caucasian,N,16,0,F
MB1204,8.1525,5.835,389,F,Caucasian,N,14,0,F
MB1205,5.86125,6.20875,370,F,Caucasian,N,16,1,F
MB1206,7.80125,7.62625,381,M,Caucasian,N,16,0,F
